信息：: 3047 mini-second(s) publishing element CustomCategory:delivery_processes[core.base_rup\customcategories\delivery_processes_C5554E3.html]
信息：CustomCategory:delivery_processes: 3063 mini seconds publishing element
信息：: 36063 mini-second(s) publishing element DeliveryProcess:small_rup[core.base_rup\deliveryprocesses\small_rup_137A3DD1.html]
信息：DeliveryProcess:small_rup: 36063 mini seconds publishing element
信息：DeliveryProcess:small_rup: 68266 mini seconds publishing process specific layout data
信息：: 1641 mini-second(s) publishing element Phase:Inception[core.base_rup\deliveryprocesses\Inception_C1FFDB03.html]
信息：Phase:Inception: 1641 mini seconds publishing element
信息：: 3500 mini-second(s) publishing element Activity:inception_iteration[core.base_rup\deliveryprocesses\inception_iteration_2845AFA8.html]
信息：Activity:inception_iteration: 3516 mini seconds publishing element
信息：: 2141 mini-second(s) publishing element Activity:conceive_new_project[core.base_rup\capabilitypatterns\conceive_new_project_925322C0.html]
信息：Activity:conceive_new_project: 2156 mini seconds publishing element
信息：TaskDescriptor:identify_and_assess_risks: 563 mini seconds publishing element
信息：TaskDescriptor:develop_business_case: 171 mini seconds publishing element
信息：TaskDescriptor:initiate_project: 188 mini seconds publishing element
信息：TaskDescriptor:project_approval_review: 172 mini seconds publishing element
信息：: 1828 mini-second(s) publishing element Activity:prepare_project_environments[core.base_rup\capabilitypatterns\prepare_project_environments_703507A.html]
信息：Activity:prepare_project_environments: 1859 mini seconds publishing element
信息：: 1453 mini-second(s) publishing element Activity:prepare_environment_for_project[core.base_rup\capabilitypatterns\prepare_environment_for_project_A1133D66.html]
信息：Activity:prepare_environment_for_project: 1531 mini seconds publishing element
信息：TaskDescriptor:tailor_process_for_project: 344 mini seconds publishing element
信息：Activity:create_project_configuration_management_cm_environments: 953 mini seconds publishing element
信息：TaskDescriptor:setup_cm_environment: 453 mini seconds publishing element
信息：: 1094 mini-second(s) publishing element Activity:prepare_environment_for_an_iteration[core.base_rup\capabilitypatterns\prepare_environment_for_an_iteration_CA05D5FC.html]
信息：Activity:prepare_environment_for_an_iteration: 1110 mini seconds publishing element
信息：TaskDescriptor:launch_development_process: 94 mini seconds publishing element
信息：Activity:plan_entire_project: 875 mini seconds publishing element
信息：: 1562 mini-second(s) publishing element Activity:plan_the_project[core.base_rup\capabilitypatterns\plan_the_project_33DD2BC3.html]
信息：Activity:plan_the_project: 1562 mini seconds publishing element
信息：TaskDescriptor:define_project_organization_and_staffing: 156 mini seconds publishing element
信息：TaskDescriptor:plan_phases_and_iterations: 172 mini seconds publishing element
信息：TaskDescriptor:project_planning_review: 78 mini seconds publishing element
信息：: 2062 mini-second(s) publishing element Activity:monitor_control_project[core.base_rup\capabilitypatterns\monitor_control_project_D89E7CCF.html]
信息：Activity:monitor_control_project: 2078 mini seconds publishing element
信息：TaskDescriptor:schedule_and_assign_work: 266 mini seconds publishing element
信息：TaskDescriptor:report_status: 156 mini seconds publishing element
信息：TaskDescriptor:organize_review: 109 mini seconds publishing element
信息：TaskDescriptor:conduct_review: 250 mini seconds publishing element
信息：: 1344 mini-second(s) publishing element Activity:manage_the_scope_of_the_system[core.base_rup\deliveryprocesses\manage_the_scope_of_the_system_BAE7D953.html]
信息：Activity:manage_the_scope_of_the_system: 1344 mini seconds publishing element
信息：TaskDescriptor:develop_vision: 359 mini seconds publishing element
信息：TaskDescriptor:prioritize_use_cases: 125 mini seconds publishing element
信息：: 1531 mini-second(s) publishing element Activity:define_the_system[core.base_rup\deliveryprocesses\define_the_system_5298F0E5.html]
信息：Activity:define_the_system: 1547 mini seconds publishing element
信息：TaskDescriptor:develop_vision: 328 mini seconds publishing element
信息：TaskDescriptor:capture_common_vocabulary: 141 mini seconds publishing element
